CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G7S00T104,PNR,Pentair PLC,127018,-47049,12.78M,-4.74M,-27%,0.04%
00508Y102,AYI,Acuity Inc,42270,-16645,12.35M,-4.86M,-28.3%,0.04%
N6596X109,NXPI,NXP Semiconductors NV,130653,-23733,27.16M,-4.93M,-15.4%,0.08%
86333M108,LRN,Stride Inc,126763,-47678,13.17M,-4.96M,-27.3%,0.04%
83200N103,SMAR,Smartsheet Inc A,27137,-89854,1.52M,-5.03M,-76.8%,<.01%
64110D104,NTAP,NetApp Inc.,202910,-43723,23.55M,-5.08M,-17.7%,0.07%
42226A107,HQY,HealthEquity Inc,20872,-53005,2M,-5.09M,-71.7%,<.01%
30161Q104,EXEL,Exelixis Inc.,66623,-156722,2.22M,-5.22M,-70.2%,<.01%
457187102,INGR,Ingredion Inc.,17085,-38391,2.35M,-5.28M,-69.2%,<.01%
04247X102,AWI,Armstrong World Industries Inc.,28797,-37882,4.07M,-5.35M,-56.8%,0.01%
G0176J109,ALLE,Allegion plc,30064,-41661,3.93M,-5.44M,-58.1%,0.01%
21037T109,CEG,Constellation Energy Corp,185033,-24447,41.39M,-5.47M,-11.7%,0.12%
N00985106,AER,AerCap Holdings NV,64000,-57747,6.12M,-5.53M,-47.4%,0.02%
742718109,PG,Procter & Gamble Co/The,1395940,-33201,234.03M,-5.57M,-2.3%,0.7%
388689101,GPK,Graphic Packaging Holding Co,20412,-206584,554.39K,-5.61M,-91%,<.01%
16679L109,CHWY,Chewy Inc A,19679,-169140,659.05K,-5.66M,-89.6%,<.01%
64125C109,NBIX,Neurocrine Biosciences Inc,40914,-43146,5.58M,-5.89M,-51.3%,0.02%
55354G100,MSCI,MSCI Inc,56899,-10212,34.14M,-6.13M,-15.2%,0.1%
704326107,PAYX,Paychex Inc,196183,-44618,27.51M,-6.26M,-18.5%,0.08%
75886F107,REGN,Regeneron Pharmaceuticals Inc.,60094,-8923,42.81M,-6.36M,-12.9%,0.13%
244199105,DE,Deere & Co.,147931,-15080,62.68M,-6.39M,-9.3%,0.19%
882681109,TXRH,Texas Roadhouse Inc,64181,-35891,11.58M,-6.48M,-35.9%,0.03%
92532F100,VRTX,Vertex Pharmaceuticals Inc. (USD),162303,-16124,65.36M,-6.49M,-9%,0.2%
876030107,TPR,Tapestry Inc,47385,-100792,3.1M,-6.58M,-68%,<.01%
18467V109,YOU,Clear Secure Inc,0,-200704,0,-6.65M,CLOSE,0%
025816109,AXP,American Express Co,360655,-22657,107.04M,-6.72M,-5.9%,0.32%
81762P102,NOW,ServiceNow Inc.,134231,-6345,142.3M,-6.73M,-4.5%,0.43%
