CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92343V104,VZ,VERIZON COMMUNICATIONS INC,722,-152,29.41K,-6.19K,-17.4%,0.04%
46435G409,IVLU,ISHARES TR,0,-175,0,-6.27K,CLOSE,0%
674599105,OXY,OCCIDENTAL PETE CORP,933,-154,38.37K,-6.33K,-14.2%,0.05%
110122108,BMY,BRISTOL-MYERS SQUIBB CO,376,-118,20.28K,-6.36K,-23.9%,0.03%
166764100,CVX,CHEVRON CORP NEW,1075,-42,163.84K,-6.4K,-3.8%,0.21%
260557103,DOW,DOW INC,94,-288,2.2K,-6.73K,-75.4%,<.01%
N53745100,LYB,LYONDELLBASELL INDUSTRIES N,605,-157,26.2K,-6.8K,-20.6%,0.03%
G87052109,TEL,TE CONNECTIVITY PLC,2142,-30,487.33K,-6.83K,-1.4%,0.62%
842587107,SO,SOUTHERN CO,1800,-79,156.96K,-6.89K,-4.2%,0.2%
922908363,VOO,VANGUARD INDEX FDS,64,-11,40.14K,-6.9K,-14.7%,0.05%
046353108,AZN,ASTRAZENECA PLC,145,-76,13.33K,-6.99K,-34.4%,0.02%
00724F101,ADBE,ADOBE INC,82,-20,28.7K,-7K,-19.6%,0.04%
025072125,AVMC,AMERICAN CENTY ETF TR,0,-100,0,-7K,CLOSE,0%
907818108,UNP,UNION PAC CORP,39,-31,9.02K,-7.17K,-44.3%,0.01%
031162100,AMGN,AMGEN INC,828,-22,271.01K,-7.2K,-2.6%,0.34%
30231G102,XOM,EXXON MOBIL CORP,3219,-61,387.37K,-7.34K,-1.9%,0.49%
744320102,PRU,PRUDENTIAL FINL INC,113,-67,12.76K,-7.56K,-37.2%,0.02%
717081103,PFE,PFIZER INC,0,-292,0,-7.68K,CLOSE,0%
460146103,IP,INTERNATIONAL PAPER CO,0,-169,0,-7.84K,CLOSE,0%
46434V803,HEFA,ISHARES TR,0,-198,0,-8.03K,CLOSE,0%
553368101,MP,MP MATERIALS CORP,11527,-165,582.34K,-8.34K,-1.4%,0.74%
00206R102,T,AT&T INC,0,-323,0,-8.36K,CLOSE,0%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,2126,-108,174.38K,-8.86K,-4.8%,0.22%
89832Q109,TFC,TRUIST FINL CORP,634,-183,31.2K,-9.01K,-22.4%,0.04%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,290,-20,131.47K,-9.07K,-6.5%,0.17%
19761L854,EQIN,COLUMBIA ETF TR I,0,-200,0,-9.34K,CLOSE,0%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,232,-54,41.24K,-9.6K,-18.9%,0.05%
025072703,AVDE,AMERICAN CENTY ETF TR,0,-125,0,-9.98K,CLOSE,0%
001055102,AFL,AFLAC INC,1409,-91,155.37K,-10.03K,-6.1%,0.2%
747525103,QCOM,QUALCOMM INC,3598,-60,615.44K,-10.26K,-1.6%,0.78%
149123101,CAT,CATERPILLAR INC,1574,-18,901.7K,-10.31K,-1.1%,1.1%
718172109,PM,PHILIP MORRIS INTL INC,0,-70,0,-10.69K,CLOSE,0%
92854T100,SEAT,VIVID SEATS INC,0,-758,0,-11.37K,CLOSE,0%
911312106,UPS,UNITED PARCEL SERVICE INC,45,-116,4.46K,-11.51K,-72%,<.01%
871607107,SNPS,SYNOPSYS INC,23,-25,10.8K,-11.74K,-52.1%,0.01%
46641Q373,BBIN,J P MORGAN EXCHANGE TRADED F,0,-170,0,-12.12K,CLOSE,0%
57636Q104,MA,MASTERCARD INCORPORATED,0,-21,0,-12.27K,CLOSE,0%
88160R101,TSLA,TESLA INC,1386,-29,623.31K,-13.04K,-2%,0.79%
345370860,F,FORD MTR CO,6503,-1000,85.32K,-13.12K,-13.3%,0.11%
88579Y101,MMM,3M CO,939,-82,150.33K,-13.13K,-8%,0.19%
