CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,1787571,0,88.75M,0,NO CHANGE,18.5%
55024UAF6,LITE,LUMENTUM HLDGS INC,5000000,0,14.2M,0,NO CHANGE,3%
47215PAJ5,JD,JD.COM INC,10000000,0,10.03M,0,NO CHANGE,2.1%
44332NAB2,HTHT,H WORLD GROUP LTD,5000000,0,6.38M,0,NO CHANGE,1.3%
19260QAF4,COIN,COINBASE GLOBAL INC,5000000,0,5.14M,0,NO CHANGE,1.1%
19260QAB3,COIN,COINBASE GLOBAL INC,4500000,0,4.5M,0,NO CHANGE,0.94%
07725L102,ONC,BEONE MEDICINES LTD,4374,0,1.33M,0,NO CHANGE,0.28%
565788AB2,MARA,MARA HOLDINGS INC,1000000,0,929.53K,0,NO CHANGE,0.19%
13321L108,CCJ,CAMECO CORP,1000,0,91.49K,0,NO CHANGE,0.02%
55405Y100,MTSI,MACOM TECH SOLUTIONS HLDGS I,1,0,171,0,NO CHANGE,<.01%
87305R109,TTMI,TTM TECHNOLOGIES INC,1,0,69,0,NO CHANGE,<.01%
501242101,KLIC,KULICKE & SOFFA INDS INC,1,0,46,0,NO CHANGE,<.01%
43289P106,HIMX,HIMAX TECHNOLOGIES INC,1,0,8,0,NO CHANGE,<.01%
63942X106,NVTS,NAVITAS SEMICONDUCTOR CORP,1,0,7,0,NO CHANGE,<.01%
88034P109,TME,TENCENT MUSIC ENTMT GROUP,0,-317,0,-7.4K,CLOSE,0%
G2662B103,CRML,CRITICAL METALS CORP,4522,-1614,31.38K,-11.2K,-26.3%,<.01%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,768,-251,49.39K,-16.14K,-24.6%,0.01%
92840M102,VST,VISTRA CORP,0,-144,0,-28.21K,CLOSE,0%
876030107,TPR,TAPESTRY INC,0,-290,0,-32.83K,CLOSE,0%
73933G902,600900,POWER SOLUTIONS INTL INC,0,-354,0,-34.77K,CLOSE,0%
985194208,YSG,YATSEN HLDG LTD,26826,-12364,104.35K,-48.1K,-31.5%,0.02%
292671708,UUUU,ENERGY FUELS INC,2599,-3376,37.79K,-49.09K,-56.5%,<.01%
74767N107,HERE,HERE GROUP LTD,17200,-11468,87.89K,-58.6K,-40%,0.02%
23703Q203,DQ,DAQO NEW ENERGY CORP,0,-2633,0,-74.07K,CLOSE,0%
247361702,DAL,DELTA AIR LINES INC DEL,0,-1396,0,-79.22K,CLOSE,0%
02927U208,AREC,AMERICAN RES CORP,11902,-31950,29.52K,-79.24K,-72.9%,<.01%
92762J103,VIOT,VIOMI TECHNOLOGY CO LTD,14988,-45000,27.58K,-82.8K,-75%,<.01%
038222105,AMAT,APPLIED MATLS INC,2411,-482,619.6K,-123.87K,-16.7%,0.13%
14365C103,CUK,CARNIVAL PLC,0,-4400,0,-127.2K,CLOSE,0%
