CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,80098,-40527,20.78M,-10.51M,-33.6%,0.52%
78463V107,GLD,SPDR GOLD TR,98,-30402,34.91K,-10.83M,-99.7%,<.01%
60937P106,MDB,MONGODB INC,24708,-34961,7.67M,-10.85M,-58.6%,0.19%
G9572D103,BULL,WEBULLCORP,26825978,-741851,396.76M,-10.97M,-2.7%,9.9%
29977A105,EVR,EVERCOREINC,0,-48396,0,-13.07M,CLOSE,0%
75886F107,REGN,REGENERON PHARMACEUTICALS,11847,-25383,6.66M,-14.27M,-68.2%,0.17%
500767306,KWEB,KRANESHARESTRUST,0,-425518,0,-14.61M,CLOSE,0%
172908105,CTAS,CINTAS CORP,17942,-81945,3.68M,-16.82M,-82%,0.09%
464287432,TLT,ISHARESTR,0,-196041,0,-17.3M,CLOSE,0%
056752108,BIDU,BAIDUINC,0,-204337,0,-17.52M,CLOSE,0%
109641100,EAT,BRINKERINTLINC,0,-101872,0,-18.37M,CLOSE,0%
Q4982L109,IREN,IREN LIMITED,143457,-404957,6.73M,-19M,-73.8%,0.17%
46428Q109,SLV,ISHARESSILVERTR,0,-606386,0,-19.9M,CLOSE,0%
171779309,CIEN,CIENA CORP,2354,-163952,342.91K,-23.88M,-98.6%,<.01%
81369Y886,XLU,SELECTSECTORSPDRTR,0,-295034,0,-24.09M,CLOSE,0%
713448108,PEP,PEPSICOINC,0,-219760,0,-29.02M,CLOSE,0%
722304102,PDD,PDD HOLDINGS INC,25527,-311083,3.37M,-41.12M,-92.4%,0.08%
03831W108,APP,APPLOVIN CORP,1,-43411,951,-41.28M,-100%,<.01%
01609W102,BABA,ALIBABAGROUPHLDGLTD,0,-476571,0,-54.05M,CLOSE,0%
88160R101,TSLA,TESLA INC,256292,-125059,113.98M,-55.62M,-32.8%,2.9%
770700102,HOOD,ROBINHOOD MKTS INC,254370,-1328561,36.42M,-190.22M,-83.9%,0.91%
21873S108,CRWV,COREWEAVEINC,2059361,-6629141,281.82M,-907.2M,-76.3%,7.1%
Total,,,,,3.99B,-205.34M,-7%,100%
